公金支出情報（令和　７年　６月分）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
局名,部名,課名,支払日,会計名,款名,項名,目名,節・細節名,支払内容（件名）,支払額（円）
政策企画局,戦略広報部,報道課,令和7年6月11日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,令和７年度複写サービスに関する契約の支出,"78,217"
政策企画局,戦略広報部,報道課,令和7年6月12日,一般会計,総務費,政策企画費,広報広聴費,使用料及賃借料,記者会見室放送設備等の借入経費の支出（５月分）,"917,290"
政策企画局,戦略広報部,報道課,令和7年6月13日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,少額支払案件に係る前渡金（一般需用費６月分）,"1,800"
政策企画局,戦略広報部,報道課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,役務費,光回線利用料金の支出（プロバイダ）,770
政策企画局,戦略広報部,報道課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,役務費,情報提供サービス（日経テレコン21）利用料の支出,"28,132"
政策企画局,戦略広報部,報道課,令和7年6月19日,一般会計,総務費,政策企画費,広報広聴費,役務費,情報提供サービス（日経テレコン21）利用料の支出,"14,036"
政策企画局,戦略広報部,報道課,令和7年6月20日,一般会計,総務費,政策企画費,広報広聴費,役務費,少額支払案件に係る前渡金（役務費６月分）,"1,502"
政策企画局,戦略広報部,報道課,令和7年6月20日,一般会計,総務費,政策企画費,広報広聴費,役務費,携帯電話料金の支出,"62,949"
政策企画局,戦略広報部,報道課,令和7年6月25日,一般会計,総務費,政策企画費,広報広聴費,需用費　一般需用費,令和７年度複写サービスに関する契約の支出,"75,603"
政策企画局,戦略広報部,報道課,令和7年6月25日,一般会計,総務費,政策企画費,広報広聴費,役務費,光回線利用料金の支出（プロバイダ）,770
政策企画局,戦略広報部,報道課,令和7年6月27日,一般会計,総務費,政策企画費,広報広聴費,役務費,光回線利用（令和７年度）の支出,"10,450"
政策企画局,戦略広報部,報道課,令和7年6月27日,一般会計,総務費,政策企画費,広報広聴費,役務費,記者会見室の光回線利用（令和７年度）,"13,750"
政策企画局,政策部,政策調査課,令和7年6月2日,一般会計,総務費,政策企画費,管理費,役務費,登記情報提供サービス利用手数料の支出（6月分）,"3,666"
政策企画局,政策部,政策調査課,令和7年6月2日,一般会計,総務費,政策企画費,管理費,役務費,６月分  公共料金支払,"7,260"
政策企画局,政策部,政策調査課,令和7年6月13日,一般会計,総務費,政策企画費,管理費,使用料及賃借料,複数の少額支払案件に係る前渡金の支出（使賃）6月分,"18,000"
政策企画局,政策部,政策調査課,令和7年6月13日,一般会計,総務費,政策企画費,管理費,役務費,複数の少額支払案件に係る前渡金の支出（役務6月分）,"83,750"
政策企画局,政策部,政策調査課,令和7年6月13日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複数の少額支払案件に係る前渡金の支出（一需6月分）,"149,292"
政策企画局,政策部,政策調査課,令和7年6月18日,一般会計,総務費,政策企画費,管理費,需用費　一般需用費,複写サービスに関する契約(単価・長期継続契約)(5月),"100,503"
政策企画局,政策部,政策調査課,令和7年6月23日,一般会計,総務費,政策企画費,管理費,役務費,情報提供サービス(日経テレコン21)の支払(上半期)4月,"54,521"
政策企画局,政策部,政策調査課,令和7年6月26日,一般会計,総務費,政策企画費,管理費,役務費,令和７年度労働者派遣（秘書事務）（単価契約）5月分,"325,531"
