年度,所管局№,所管局,施策分野№,施策分野,事業名,補助金名,補助金の概要,補助対象者№,補助対象者,予算額（千円）,所管部署,問い合わせ先,各局HPリンク
2025,14,保健医療局,05,保健、医療,オンライン診療・医療相談等環境整備補助事業,東京都オンライン医療相談・診療等環境整備補助事業補助金（区市町村）,"補助金の目的：かかりつけ医等によるオンライン医療相談・診療等を推進
補助対象者　：都内に所在する病院又は診療所、島しょ地域の町立医療機関等
補助対象経費：オンライン医療相談・診療等のための専用の情報通信機器等の初期経費
負担割合　　：都 1/2 、区市町村又は 事業者 1/2（基準額400千円）",1 ,区市町村,"2,400",保健医療局医療政策部医療政策課,03-5320-4448,
2025,14,保健医療局,05,保健、医療,病床機能再編支援事業,病床機能再編支援事業給付金,"補助金の目的：地域医療構想策定により示される2025年のあるべき医療提供体制の実現に向けた取組の推進
補助対象者　：都内の病院又は診療所であって、療養病床又は一般病床を有するもの
補助対象経費：支給要件を満たす医療機関への給付金
負担割合　　：国10/10",5 ,民間団体,"292,296",保健医療局医療政策部医療政策課,03-5320-4417,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/byoushoukinousaihen.html
2025,14,保健医療局,05,保健、医療,東京都地域医療支援センター事業,東京都認定制度を活用した医師少数区域における勤務の推進事業補助金,"補助金の目的：都内の医師偏在解消
補助対象者　：都内医師少数区域に所在する病院又は診療所
補助対象経費：医師少数区域で必要な医療等を学ぶための研修受講料、図書購入費等
負担割合　　：国1/2、都1/2",5 ,民間団体,"10,980",保健医療局医療政策部医療人材課,03-5320-4552,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/sonota/jinnzai-syousuukuiki_hojyo.html
2025,14,保健医療局,05,保健、医療,地域医療勤務環境改善体制整備事業,地域医療勤務環境改善体制整備事業補助金（地域医療勤務環境改善体制整備事業）,"補助金の目的：チーム医療の推進やデジタル技術の活用等による業務改革の推進
補助対象者　：要件を満たす都内の医療機関
補助対象経費：医療機関が作成した「医師労働時間短縮計画計画」に基づく総合的な取組に要する経費
負担割合　　：国2/3、都1/3",5 ,民間団体,"1,342,990",保健医療局医療政策部医療人材課,03-5320-4441,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/sonota/kinmukankyoukaizen/tiikiiryoukinmukankyoukaizen.html
2025,14,保健医療局,05,保健、医療,遠隔医療補助事業,東京都地域医療充実のための遠隔医療補助事業補助金,"補助金の目的：医療の地域格差を解消し、医療の質及び信頼性の確保
補助対象者　：東京都内に医療機関を開設する者
補助対象経費：遠隔医療の実施に必要なコンピュータ機器・通信機器等（ソフトウェアの導入を含む。）の購入費。ただし、専ら遠隔医療の用に供するものに限る。
負担割合　　：国1/2、事業者1/2",5 ,民間団体,"13,164",保健医療局医療政策部医療政策課,03-5320-4448,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/enkaku.html
2025,14,保健医療局,05,保健、医療,地域医療勤務環境改善体制施設・設備整備事業,地域医療勤務環境改善体制整備事業補助金（地域医療勤務環境改善体制施設・設備整備事業）,"補助金の目的：チーム医療の推進やデジタル技術の活用等による業務改革の推進
補助対象者　：要件を満たす都内の医療機関
補助対象経費：医療機関が作成した「医師労働時間短縮計画」に基づく総合的な取組に要する経費
負担割合　　：国3/5、都3/10、事業者1/10",5 ,民間団体,"761,052",保健医療局医療政策部医療人材課,03-5320-4441,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/sonota/kinmukankyoukaizen/tiikiiryoukinmukankyoukaizen.html
2025,14,保健医療局,05,保健、医療,へき地医療拠点病院運営事業補助,東京都へき地医療拠点病院運営費補助金,"補助金の目的：へき地住民の医療を安定的に確保
補助対象者　：へき地医療拠点病院
補助対象経費：へき地医療活動経費、研修費、医療費及び情報通信機器等経費
負担割合　　：国1/2、都1/2",5 ,民間団体,"24,379",保健医療局医療政策部救急災害医療課,03-5320-4428,
2025,14,保健医療局,05,保健、医療,在宅医療推進強化事業,"東京都在宅医療推進強化事業（24時間診療体制推進）補助金
東京都在宅医療推進強化事業（オンラインを活用した病診連携の推進）補助金","補助金の目的：往診医療機関の活用やオンラインを活用した病診連携などにより、地域における在宅医療体制を推進
補助対象者　：地区医師会、医療機関
補助対象経費：地域における24時間診療体制の構築やオンラインによる診療支援に要する経費
負担割合　　：国2/3、都1/3",5,民間団体,"600,000",保健医療局医療政策部医療政策課,03-5320-4446,
2025,14,保健医療局,05,保健、医療,助産所設備整備費補助,東京都助産所設備整備費補助金,"補助金の目的：妊婦の多様なニーズに応え、身近な地域で安全・安心に出産できる環境を整備するため、医療機器や情報通信機器等の設備整備を促進
補助対象者　：都内分娩取扱助産所
補助対象経費：分娩取扱助産所として必要な医療機器の購入費、分娩取扱助産所として嘱託医師等への相談等を行うために使用する画像等が共有可能な情報通信機器等の初期経費（パソコン、タブレット（スマートフォンは除く。）、カメラ、マイク、ヘッドセット、ルーター等）
負担割合　　：都3/4、事業者1/4",5,民間団体,"4,000",保健医療局医療政策部救急災害医療課,03-5320-4379,
2025,14,保健医療局,05,保健、医療,救急医療体制強化事業,救急医療体制強化事業補助金,"補助金の目的：医療従事者の勤務環境改善に向けた体制整備を支援し、安定的な救急医療体制の確保
補助対象者　：年間救急車受入台数が2,000台以上の病院、ただし、国、独立行政法人、地方独立行政法人及び都が設置する病院及びその他知事が定める病院を除く。
補助対象経費：病院勤務者勤務環境改善事業経費の1/4
負担割合　　：国2/3、都1/3　又は　都10/10",5,民間団体,"75,312",保健医療局医療政策部医療人材課,03-5320-4427,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/sonota/kinmukankyoukaizen/kinmukankyoukaizenji
2025,14,保健医療局,05,保健、医療,医療施設浸水対策計画策定支援事業,医療施設浸水対策計画策定支援補助金,"補助金の目的：浸水想定区域に所在する都内の病院を対象として、浸水対策計画の策定に向けた設計コンサルタント等の活用を支援し、浸水対策を促進
補助対象者　：浸水想定区域に所在する都内の病院
補助対象経費：浸水対策を実施するための設計コンサルタント等の活用に要する経費
負担割合　　：　都4/5、事業者1/5",5,民間団体,"49,280",保健医療局医療政策部救急災害医療課,03-5320-4445,
2025,14,保健医療局,05,保健、医療,医療機関診療情報デジタル導入支援事業,医療機関診療情報デジタル導入支援事業補助金,"補助金の目的：医療機関のＤＸ推進に向け、電子カルテシステムの導入を支援
補助対象者　：病院、医科診療所
医療機関補助対象経費：コンサルタントの活用等に要する費用
負担割合　　：　都3/4、事業者1/4（都1/2、大規模病院1/2）",5,民間団体,"312,000",保健医療局医療政策部医療政策課,03-5320-4448,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/digital_dounyu.html
2025,14,保健医療局,05,保健、医療,医療機関におけるAI技術活用促進事業,医療機関におけるAI技術活用促進事業補助金,"補助金の目的： 医療従事者の負担軽減等、勤務環境を整備するため、医療機関における「働き方改革」等に資するＡＩ技術活用の取組を支援
補助対象者　：中小病院、有床診療所
補助対象経費：AI問診、AIによる音声自動入力、多言語対応等に要する経費、コンサルティング費用
負担割合　　：　都1/2、事業者1/2",5,民間団体,"345,000",保健医療局医療政策部医療政策課,03-5320-4448,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/ai
2025,14,保健医療局,05,保健、医療,勤務環境改善医師派遣等推進事業,勤務環境改善医師派遣等推進事業補助金,"補助金の目的：医師の時間外・休日労働時間を短縮すること及び地域医療提供体制を確保することを目的に、長時間労働医療機関への医師派遣を行う医療機関等を支援
補助対象者　：都内大学病院等
補助対象経費：医師派遣に係る逸失利益補填
負担割合　　：　国2/3、都1/3",5,民間団体,"786,150",保健医療局医療政策部医療人材課,03-5320-4441,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/sonota/kinmukankyoukaizen/isihaken
2025,14,保健医療局,05,保健、医療,病院救急車購入支援事業,病院救急車購入支援事業補助金,"補助金の目的：医療機関自身での転院搬送手段の確保を支援
補助対象者　：救急告示医療機関
補助対象経費：病院救急車、病院救急車に搭載する資器材
負担割合　　：都2/3、事業者1/3",5,民間団体,"489,672",保健医療局医療政策部救急災害医療課,03-5320-4427,
2025,14,保健医療局,05,保健、医療,東京都障害者歯科医療設備整備補助事業,障害者歯科医療設備整備補助事業補助金,"補助金の目的：障害者への歯科医療提供体制の充実を図るため、全身麻酔等の全身管理下での歯科医療を提供する医療機関に対して、必要な医療機器等の整備を促進
補助対象者　：歯科医療機関
補助対象経費：全身管理による専門的な歯科治療を行う際に必要となる医療機器に要する費用
負担割合　　：都2/3、事業者1/3",5,民間団体,"37,931",保健医療局医療政策部医療政策課,03-5320-4433,
2025,14,保健医療局,05,保健、医療,医療機関診療情報サイバーセキュリティ対策支援事業,医療機関診療情報サイバーセキュリティ対策支援事業補助金,"補助金の目的：医療機関のデジタル化の促進及び安定的な医療提供体制の確保
補助対象者　：病院、医科診療所
補助対象経費：サイバーセキュリティ対策の強化に要する費用
負担割合　　：都1/2、事業者1/2",5,民間団体,"332,813",保健医療局医療政策部医療政策課,03-5320-4448,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/jigyo/h_gaiyou/cybersecurity
2025,14,保健医療局,05,保健、医療,ドナーミルク利用支援事業,ドナーミルク利用支援事業補助金,"補助金の目的：NICU入院児がドナーミルクを使用できる体制の整備
補助対象者　：医療機関
補助対象経費：ドナーミルク使用料及びドナー登録にかかる経費
負担割合　　：都10/10",5 ,民間団体,"32,310",保健医療局医療政策部救急災害医療課,03-5320-4378,
2025,14,保健医療局,05,保健、医療,医療機関における電子処方箋の活用・普及の促進事業,医療機関における電子処方箋の活用・普及の促進事業補助金,"補助金の目的：電子処方箋及び電子処方箋の新たな機能を導入した病院及び診療所に対し、導入に要する費用を補助
補助対象者　：既に電子処方箋を導入し、支払基金より国基金補助（ICT基金補助金）の交付決定がされている病院及び診療所
補助対象経費① 電子処方箋の導入（②に該当するものを除く）に要する費用
② 電子処方箋を導入した医療機関に対し、電子処方箋管理サービスの新機能（リフィル処方箋、口頭同意による重複投薬等チェック結果閲覧、マイナンバーカードによる電子署名対応、処方箋ID検索、調剤結果ID検索）の導入に要する費用
③ 電子処方箋の導入（①、②に該当するものを同時に導入した場合）に要する費用 
負担割合　　：国1/3　都1/6、事業者1/2　国1/2、都1/4、事業者1/4",5 ,民間団体,"613,641",保健医療局医療政策部医療政策課,03-5320-4448,https://www.hokeniryo.metro.tokyo.lg.jp/iryo/iryo_hoken/denshisyohosen
2025,14,保健医療局,05,保健、医療,東京都立病院機構への支援,東京都立病院機構への支援,"補助金の目的：地方独立行政法人東京都立病院機構への支援
補助対象者　：地方独立行政法人東京都立病院機構
補助対象経費：病院運営に係る経費等
負担割合　　：都10/10",5 ,民間団体,"56,900,968",保健医療局都立病院支援部法人調整課,03-5320-5868,
2025,14,保健医療局,05,保健、医療,総合診療体制の強化,総合診療体制の強化,"補助金の目的：地方独立行政法人東京都立病院機構への支援
補助対象者　：地方独立行政法人東京都立病院機構
補助対象経費：総合診療体制の充実・強化に係る経費
負担割合　　：都10/10",5 ,民間団体,"226,013",保健医療局都立病院支援部法人調整課,03-5320-5865,
2025,14,保健医療局,06,健康安全、感染症,医薬分業の推進等,医薬分業推進事業補助金,"補助金の目的：医薬分業の推進及び質の向上
補助対象者　：公益社団法人東京都薬剤師会
補助対象経費：機能整備に必要な経費
負担割合　　：都1/2　事業者1/2",7 ,その他団体,"5,000",保健医療局健康安全部薬務課,03-5320-4511,
2025,14,保健医療局,06,健康安全、感染症,医薬分業の推進等,防犯機器等導入支援事業補助金,"補助金の目的：、薬剤師が安心して在宅医療に従事できる環境整備
補助対象者　：薬局
補助対象経費：防犯機器等の導入経費
負担割合　　：国10/10",5 ,民間団体,"31,050",保健医療局健康安全部薬務課,03-5320-4511,
2025,14,保健医療局,06,健康安全、感染症,身近な健康相談システムの構築,医薬品の適正使用推進事業補助金,"補助金の目的：スポーツ選手に対する医薬品の適正使用の啓発
補助対象者　：公益社団法人東京都薬剤師会
補助対象経費：ドーピング防止に関する啓発事業に必要な経費
負担割合　　：都1/2　事業者1/2",7 ,その他団体,750,保健医療局健康安全部薬務課,03-5320-4511,
2025,14,保健医療局,06,健康安全、感染症,薬学振興助成等,薬学技術振興事業補助金,"補助金の目的：地域における保健衛生の増進
補助対象者　：公益社団法人東京都薬剤師会
補助対象経費：薬学、薬務行政に関する講習会等の開催に必要な経費
負担割合　　：都1/2　事業者1/2",7 ,その他団体,"1,500",保健医療局健康安全部薬務課,03-5320-4511,
2025,14,保健医療局,06,健康安全、感染症,医薬分業の推進等,薬局における電子処方箋の活用・普及の促進事業補助金,"補助金の目的：、電子処方箋の活用・普及
補助対象者　：薬局
補助対象経費：電子処方箋導入等経費
負担割合　　：国2/3、都1/3",5 ,民間団体,"520,858",保健医療局健康安全部薬務課,03-5320-4511,
2025,14,保健医療局,06,健康安全、感染症,薬物乱用防止推進協議会助成等,薬物乱用防止推進協議会助成,"補助金の目的：組織的、効果的な薬物乱用防止啓発活動等の推進
補助対象者　：東京都薬物乱用防止推進協議会
補助対象経費：薬物乱用防止啓発活動等に必要な経費
負担割合　　：都10/10",7 ,その他団体,"7,210",保健医療局健康安全部薬務課,03-5320-4505,
2025,14,保健医療局,06,健康安全、感染症,生活衛生営業指導センター運営費,生活衛生関係営業対策事業費補助金,"補助金の目的：生活衛生関係営業の経営の健全化及び振興
補助対象者　：公益財団法人東京都生活衛生営業指導センター
補助対象経費：運営費
負担割合　　：　国1/2、都1/2",7 ,その他団体,"49,728",保健医療局健康安全部環境保健衛生課,03-5320-4385,
2025,14,保健医療局,06,健康安全、感染症,生活衛生営業指導センター運営費,（公財）東京都生活衛生営業指導センター生活衛生関係営業振興事業費補助金,"補助金の目的：生活衛生関係営業の経営の健全化及び振興
補助対象者　：公益財団法人東京都生活衛生営業指導センター
補助対象経費：運営費
負担割合　　：　都10/10",7 ,その他団体,"24,294",保健医療局健康安全部環境保健衛生課,03-5320-4385,
2025,14,保健医療局,06,健康安全、感染症,大気汚染健康障害者医療費助成,区市町村臨時交付金,"補助金の目的：PMH実施に伴うシステムの改修
補助対象者　：区・特例市
補助対象経費：PMH実施に伴うシステムの改修経費
負担割合：（補助対象額から国庫補助額を除いた額について、補助基準額の範囲内で）都10/10",1 ,区市町村,"120,000",保健医療局健康安全部環境保健衛生課,03-5320-4385,
2025,14,保健医療局,06,健康安全、感染症,獣医公衆衛生学術振興助成,獣医公衆衛生学術助成,"補助金の目的：適切な獣医公衆衛生行政の推進
補助対象者　：公益社団法人東京都獣医師会
補助対象経費：学術講演会、学術研修、学術資料
負担割合　　：都1/2、獣医師会1/2",7 ,その他団体,430,保健医療局健康安全部環境保健衛生課,03-5320-4412,
2025,14,保健医療局,06,健康安全、感染症,簡易水道事業等補助,東京都簡易水道事業等補助金,"補助金の目的：簡易水道事業等を助成し、水道の普及及び整備促進を図る。
補助対象者　：町村
補助対象経費：簡易水道事業等の施設整備等に対する経費
負担割合：（補助基本額に対し）　国　1／4～1／2　都　1／4～1／2　町村　1／4～1／3",1 ,区市町村,"1,020,343",保健医療局健康安全部環境保健衛生課,03-5320-4393,
2025,14,保健医療局,06,健康安全、感染症,感染症対策強化事業,感染症対策強化事業,"補助金の目的：一類感染症患者受入時の感染防御体制の強化
補助対象者　：特定感染症指定医療機関及び第一種感染症指定医療機関
補助対象経費：感染防止に要する資機材及び定期的な感染防御訓練実施に要する経費
負担割合　　：都１０／１０",5 ,民間団体,"26,466",保健医療局感染症対策部医療体制整備課,03-5320-4528,
2025,14,保健医療局,06,健康安全、感染症,アジア感染症対策プロジェクト（アジア感染症海外派遣研修）,アジア感染症対策海外派遣研修に係る代替職員雇用経費補助（医師等代替雇上）,"補助金の目的：研修受講促進のための、研修生の不在に係る代替職員を雇用する費用負担
補助対象者　：研修受講者の所属する感染症指定医療機関及び感染症診療協力医療機関
補助対象経費：研修期間中に代替職員を雇い上げた場合の雇用費用
負担割合　　：都10/10",7 ,その他団体,494,保健医療局感染症対策部防疫課,03-5320-4538,
2025,14,保健医療局,06,健康安全、感染症,保菌者検索等,感染症予防費都負担金,"補助金の目的：地域住民の健康増進並びに疾病の予防
補助対象者　：市町村
補助対象経費：感染症法第５７条の規定により市町村が行う支弁事業を対象とする。
負担割合　　：国1/3　都1/3　市町村1/3",1 ,区市町村,125,保健医療局感染症対策部防疫課,03-5320-4381,
2025,14,保健医療局,06,健康安全、感染症,感染症医療対策,感染症指定病床管理運営費補助,"補助金の目的：感染症指定医療機関の運営に要する経費の補助
補助対象者　：第一種感染症指定医療機関及び第二種感染症指定医療機関
補助対象経費：①感染症指定医療機関の維持管理及び運営に必要な経費　②常勤職員費及び研究・研修経費
負担割合　　：①国1/2、都1/2　②都10/10",5 ,民間団体,"273,532",保健医療局感染症対策部医療体制整備課,03-5320-4528,
2025,14,保健医療局,06,健康安全、感染症,帯状疱疹ワクチン任意接種補助事業,帯状疱疹ワクチン任意接種補助金,"補助金の目的：定期接種開始までに任意接種費用の助成を受けられなかった方の救済
補助対象者　：区市町村
補助対象経費：任意接種対象者の負担軽減のため区市町村が公費負担した1/2の経費、本事業の周知のために要する経費
負担割合　　：都1/2　区市町村1/2",1 ,区市町村,"1,136,017",保健医療局感染症対策部防疫課,03-5320-5892,
2025,14,保健医療局,06,健康安全、感染症,HPVワクチン男性接種補助事業,HPVワクチン男性接種補助金,"補助金の目的：ＨＰＶ（ヒトパピローマウイルス）ワクチン接種に係る個人負担の軽減を行う区市町村の支援
補助対象者　：区市町村
補助対象経費：任意接種対象者の負担軽減のため区市町村が公費負担した1/2の経費、本事業の周知のために要する経費
負担割合　　：都1/2　区市町村1/2",1 ,区市町村,"396,990",保健医療局感染症対策部防疫課,03-5320-5892,
2025,14,保健医療局,06,健康安全、感染症,小児インフルエンザワクチン任意接種補助事業,小児インフルエンザワクチン任意接種補助金,"補助金の目的：子育て支援の観点から、インフルエンザワクチンの２回接種が必要な13歳未満の方に対し、ワクチン接種に係る個人負担の軽減を行う区市町村の支援
補助対象者　：区市町村
補助対象経費：任意接種対象者の負担軽減のため区市町村が公費負担した1/2の経費
負担割合　　：都1/2　区市町村1/2",1 ,区市町村,"957,729",保健医療局感染症対策部防疫課,03-5320-5892,
2025,14,保健医療局,06,健康安全、感染症,院内感染対策人材育成支援事業,感染管理認定看護師等資格取得支援事業補助金,"補助金の目的：感染管理認定看護師等資格取得支援
補助対象者　：都内の病院（但し、国及び都が開設した病院は、対象外）
補助対象経費：資格取得にかかる経費
負担割合　　：都1/2、事業者1/2",5 ,民間団体,"74,250",保健医療局感染症対策部医療体制整備課,03-5320-4332,https://www.hokeniryo.metro.tokyo.lg.jp/kansen/info/corona/corona_portal/iryokikan/kansenkanri
2025,14,保健医療局,06,健康安全、感染症,予防接種健康被害者救済措置,予防接種健康被害者救済措置（救済措置費）,"補助金の目的：予防接種を受けた者に健康被害が生じた場合の医療費等の給付
補助対象者　：区市町村
補助対象経費：健康被害者に支給した額
負担割合　　：国1/2、都1/4、区市町村1/4",1 ,区市町村,"237,820",保健医療局感染症対策部防疫課,03-5320-5892,
2025,14,保健医療局,06,健康安全、感染症,予防接種健康被害者救済措置,予防接種健康被害者救済措置（予防接種事故調査事業費）,"補助金の目的：予防接種を受けた者に健康被害が生じた場合の調査手数料等の給付
補助対象者　：区市町村
補助対象経費：健康被害者に支給した額
負担割合　　：国1/2、都1/4、区市町村1/4",1 ,区市町村,"5,199",保健医療局感染症対策部防疫課,03-5320-5892,
2025,14,保健医療局,06,健康安全、感染症,結核予防費補助（私立学校等）,結核予防費補助,"補助金の目的：学校施設が実施する健康診断の経費負担を軽減し健康診断の促進を目的とする。
補助対象者　：学校又は施設設置者
補助対象経費：学校又は施設が行う定期の健康診断に要する費用
負担割合　　：　都　2/3　　事業者　1/3",5 ,民間団体,"80,521",保健医療局感染症対策部防疫課,03-5320-4483,https://www.hokeniryo.metro.tokyo.lg.jp/kansen/kekkaku/hojokin.html
2025,14,保健医療局,06,健康安全、感染症,ハンセン病対策,療養所入所患者見舞,"補助金の目的：ハンセン病療養所入所者に対し、見舞金及び見舞い品を支給することにより、社会復帰への意欲の高揚と長期にわたる療養生活の慰安に資する
補助対象者　：東京都出身ハンセン病療養所入所者
補助対象経費：見舞金及び見舞品
負担割合　　：都10/10",6 ,一般都民,50,保健医療局感染症対策部防疫課,03-5320-4483,
2025,14,保健医療局,06,健康安全、感染症,ハンセン病対策,患者郷土訪問補助,"補助金の目的：社会交流（郷土訪問等）をすることにより入所者の社会復帰への意欲の高揚を図り、また長期にわたる療養生活の慰安に資する
補助対象者　：東京都出身ハンセン病療養所入所者
補助対象経費：目的地までの往復交通費、宿泊費、食卓料
負担割合　　：都10/10（宿泊料上限10,000円（施設所在地の隣県は11,000円、卓料上限2,200円）",6 ,一般都民,200,保健医療局感染症対策部防疫課,03-5320-4483,
2025,14,保健医療局,06,健康安全、感染症,新型コロナウイルス等予防ワクチン開発研究の推進,新型コロナウイルス等予防ワクチン開発研究の推進,"補助金の目的：新型コロナウイルス等予防ワクチンの開発研究に要する経費
補助対象者　：（公財）東京都医学総合研究所
補助対象経費：職員費及び事務費等
負担割合　　：都10/10",3 ,政策連携団体,"100,000",保健医療局企画部企画政策課,03-5320-4202,https://www.igakuken.or.jp/
2025,14,保健医療局,06,健康安全、感染症,感染症診療協力医療機関等施設・設備整備事業,感染症診療協力医療機関等施設・設備整備に対する補助金,"補助金の目的：感染症診療協力医療機関等の整備に要する経費の補助
補助対象者　：東京都感染症診療協力医療機関及び東京都感染症入院医療機関
補助対象経費：施設整備費及び設備整備費
負担割合　　：国１／２、都１／２",5 ,民間団体,"360,187",保健医療局感染症対策部医療体制整備課,03-5320-4543,
2025,14,保健医療局,06,健康安全、感染症,感染症医療対策,感染症指定病床整備費補助,"補助金の目的：感染症指定医療機関の整備に要する経費の補助
補助対象者　：第一種感染症指定医療機関及び第二種感染症指定医療機関
補助対象経費：施設整備費及び設備整備費
負担割合　　：国１／３、都１／３、事業者1/3",5 ,民間団体,"1,000",保健医療局感染症対策部医療体制整備課,03-5320-4528,
2025,14,保健医療局,06,健康安全、感染症,協定締結医療機関施設・設備整備事業,協定締結医療機関施設・設備整備補助金,"補助金の目的：各協定締結医療機関の感染症対応力強化のための施設整備等の補助
補助対象者　：協定締結医療機関
補助対象経費　：感染症患者の受入に要する施設・設備整備
　　　　　　　　　　 個人防護具保管庫の整備費
負担割合　　：国1/2,1/3　都1/2,1/3",5 ,民間団体,"1,378,133",保健医療局感染症対策部医療体制整備課,03-5320-4543,
2025,14,保健医療局,06,健康安全、感染症,協定締結医療機関PCR検査機器設備整備費補助事業,協定締結医療機関施設・設備整備費補助金(PCR検査機器）,"補助金の目的：各協定締結医療機関の感染症対応力強化のための設備整備等の補助
補助対象者　：協定締結医療機関
補助対象経費　：PCR等検査機器
負担割合　　：都1/2　国1/2",5 ,民間団体,"406,830",保健医療局感染症対策部医療体制整備課,03-5320-4543,
2025,15,産業労働局,09,中小企業支援,江戸東京きらりプロジェクト,江戸東京きらりプロジェクト持続的なビジネス展開支援補助金,"補助金の目的　：江戸東京きらりプロジェクトモデル事業に公募・選定された事業者等が実施する事業拡大を図る取組に対して、新商品・新サービスの開発や販路開拓等、具体的なビジネス展開に係る費用を補助することにより、売上向上につなげ持続可能なビジネスを後押しするとともに、モデル事業者間の連携を促進する仕組みを構築し、新ビジネスの成果創出につなげ牽引力を強化していくこと
補助対象者　：江戸東京きらりプロジェクトモデル事業の選定を通知されており、支援期間を終了した事業者
補助対象経費　：具体的なビジネス展開に係る事業の実施に必要な経費
負担割合　：1/2以内",5 ,民間団体,"15,000",産業労働局総務部企画調整課,03-5320-4685,
2025,15,産業労働局,16,国際金融都市、特区・外国企業誘致,「国際金融都市・東京」の実現,都民向け金融セミナーに係る補助金,"補助金の目的：都民向け金融セミナーの効率的かつ効果的な実施
補助対象者　：一般社団法人東京国際金融機構
補助対象経費：都民向け金融セミナーの実施、その他関連費
負担割合　　：都10分の10",5 ,民間団体,"50,000",産業労働局総務部国際金融都市推進課,03-5320-6274,
2025,15,産業労働局,16,国際金融都市、特区・外国企業誘致,「国際金融都市・東京」の実現,フィンテック企業等に対するイノベーション支援事業（①金融オープンイノベーション支援・②金融サービス事業化支援）補助金,"補助金の目的：フィンテック企業等と大手金融機関等が参加するマッチングイベントの開催経費や、これらの企業間で行われる実証実験の取組に係る経費を補助することで、金融分野におけるイノベーションの創出を促進していく
補助対象者　：民間事業者
補助対象経費：①フィンテック事業者と大手金融機関等が参加するマッチングイベントの開催経費および②両者間で実施される実証実験に係る経費
負担割合　　：①2分の１、②2分の１or３分の２",5 ,民間団体,"30,000",産業労働局総務部国際金融都市推進課,03-5320-6274,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/gfct/initiatives/nurturing-players/fintech/post-35/
2025,15,産業労働局,16,国際金融都市、特区・外国企業誘致,「国際金融都市・東京」の実現,デジタル証券（セキュリティトークン）市場拡大促進事業,"補助金の目的：デジタル証券市場の活性化
補助対象者　：デジタル証券の発行体
補助対象経費：デジタル証券の発行に際して追加的に発生するコスト
負担割合　　：2分の１or３分の２",5 ,民間団体,"50,000",産業労働局総務部国際金融都市推進課,03-5320-6274,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/gfct/initiatives/nurturing-players/fintech/security-token
2025,15,産業労働局,16,国際金融都市、特区・外国企業誘致,「国際金融都市・東京」の実現,フィンテック企業等に対する海外進出支援事業（①海外進出のフィジビリティ確認に必要な調査費用・②海外展示会の出展支援）補助金,"補助金の目的：海外進出を希望するフィンテック企業を支援し、更なる成長を後押し
補助対象者　：民間事業者
補助対象経費：①海外進出のフィジビリティ確認に必要な調査費用および②海外展示会の出展に係る経費
負担割合　　：2分の１",5 ,民間団体,"15,000",産業労働局総務部国際金融都市推進課,03-5320-6274,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/gfct/initiatives/nurturing-players/fintech/global/
2025,15,産業労働局,16,国際金融都市、特区・外国企業誘致,「国際金融都市・東京」の実現,Tokyo Sustainable Finance Weeに係る補助金,"補助金の目的：Tokyo Sustainable Finance Weekの効率的かつ効果的な実施
補助対象者　：一般社団法人東京国際金融機構
補助対象経費：Tokyo Sustainable Finance Weekの実施、その他関連費
負担割合　　：都10分の10",5 ,民間団体,"40,000",産業労働局総務部国際金融都市推進課,03-5320-6274,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/gfct/initiatives/contributing-solving-socialissues/sustainable-finance/finance-week
2025,15,産業労働局,16,国際金融都市、特区・外国企業誘致,「国際金融都市・東京」の実現,独立系資産運用業者育成、創業及び高度化に関する補助金,"<１>資産運用業育成支援
補助金の目的：将来の投資運用業者となるファンドマネージャー等の育成を支援し、国内の資産運用業の創業者数の増加・高度化を推進
補助対象者　：①契約型ファンドマネージャー・②新興投資助言・代理業者（東京に拠点がある）
補助対象経費：資産運用業の特有の費用等
負担割合　　：50％
<２>資産運用業創業支援
補助金の目的：独立系資産運用会社の創業支援
補助対象者　：創業から３年以内の独立系資産運用会社
補助対象経費：資産運用業の創業に係る特有の費用等
負担割合　　：50％
<３>資産運用業高度化支援
補助金の目的：新興資産運用業者の事業高度化を支援
補助対象者　：創業から10年以内で、業登録替、投資信託委託業に参入する独立系投資運用会社
補助対象経費：資産運用業の高度化に係る特有の費用等
負担割合　　：50％",5 ,民間団体,"78,000",産業労働局総務部国際金融都市推進課,03-5320-6274,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/gfct/initiatives/nurturing-players/asset-management
